Display Horizontal Pixel,Display Vertical Pixel,Marker Position X,Marker Position Y,Marker Position Z
192,96,-0.022621147,0.387747253,0.126919067
576,96,-0.050548508,0.486746765,0.150593185
960,96,-0.071583969,0.356637268,0.11513092
1344,96,-0.117997894,0.470494934,0.147793686
1728,96,-0.124745056,0.35620224,0.113923843
192,312,-0.019622429,0.468160828,0.120612175
576,312,-0.048498608,0.322305542,0.095608803
960,312,-0.079887238,0.455769775,0.134408722
1344,312,-0.090922668,0.314687897,0.092620956
1728,312,-0.144091553,0.466261475,0.123768456
192,528,-0.017212881,0.304224731,0.082259178
576,528,-0.045188477,0.39570047,0.101265335
960,528,-0.070368378,0.33771701,0.086266129
1344,528,-0.102749466,0.394832367,0.098369087
1728,528,-0.117321915,0.345140503,0.084509552
192,744,-0.020879354,0.431824646,0.088839363
576,744,-0.046161255,0.397206177,0.071852272
960,744,-0.06712957,0.343402924,0.075639427
1344,744,-0.10812484,0.44349353,0.083343391
1728,744,-0.109617928,0.311004547,0.061563499
192,960,-0.021026495,0.451461823,0.076992516
576,960,-0.042361729,0.316382385,0.054041759
960,960,-0.072913193,0.420323395,0.058085743
1344,960,-0.091090324,0.312617767,0.048873596
1728,960,-0.134450882,0.425111298,0.060736069
192,96,-0.016986076,0.2714617,0.103011429
576,96,-0.038408024,0.350836273,0.11071772
960,96,-0.061872913,0.280670105,0.091477112
1344,96,-0.107675453,0.455962189,0.144227783
1728,96,-0.116664154,0.345733063,0.111038261
